Would you like to continue to finish this survey?,How long have you been programming?,How long have you participated (in any way) in Open Source Software (OSS)?,"Please indicate your level of agreement with the following statement:


""I pay attention to the 'Why' information when writing commit messages.""","Please indicate your level of agreement with the following statement: 

""I pay attention to the 'What' information when writing commit messages.""",Do you think the quality of previous commit messages written by others has any impact on the code change that you commit?,"Please identify the potential impacts of not having ""Why"" information in commit messages: - Other developers may not fully/correctly understand the code changes made in the commits","Please identify the potential impacts of not having ""Why"" information in commit messages: - The maintainability of the software will be hampered","Please identify the potential impacts of not having ""Why"" information in commit messages: - The readability/understandability of the entire code base will be reduced","Please identify the potential impacts of not having ""Why"" information in commit messages: - The software's handover in the future will be more difficult","Please identify the potential impacts of not having ""Why"" information in commit messages: - There is no impact","If you believe there are other impacts of not having ""Why"" information in commit message, please briefly describe:","Please identify the potential impacts of not having ""What"" information in commit messages: - Other developers may not fully/correctly understand the code changes made in the commits","Please identify the potential impacts of not having ""What"" information in commit messages: - The maintainability of the software will be hampered","Please identify the potential impacts of not having ""What"" information in commit messages: - The readability/understandability of the entire code base will be reduced","Please identify the potential impacts of not having ""What"" information in commit messages: - The software's handover in the future will be more difficult","Please identify the potential impacts of not having ""What"" information in commit messages: - There is no impact","If you believe there are other impacts of not having ""What"" information in commit message, please briefly describe:","Do you think ""Good"" commit message is important in ensuring software quality?",Which type of information in commit messages do you think is more important in preventing bugs? - Selected Choice,"Which type of information in commit messages do you think is more important in preventing bugs? - Other, please specify: - Text","Researchers have found that some developers include ""Why"" information in commit messages by providing an issue report/pull request link.

Do you think it’s a good practice to attach issue report/pull request links to commit messages (instead of directly writing texts) to include ""Why"" information?","Please indicate your level of agreement with the following statement:

""When I see a commit message with an issue report/pull request link, and this commit message does not seem to have 'Why', I would always expect to get additional information in the link.""","Are you aware of any guidelines about writing ""Good"" commit messages? - Selected Choice","Are you aware of any guidelines about writing ""Good"" commit messages? - Yes, please specify: (e.g. links, documents...) - Text","In addition to it containing ""What"" and ""Why"", what other aspects do you think are also important to writing a ""Good"" commit message? Select all that apply - Selected Choice","In addition to it containing ""What"" and ""Why"", what other aspects do you think are also important to writing a ""Good"" commit message? Select all that apply - Other, please specify: - Text","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""Why"": - Selected Choice","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""Why"": - Other, please specify: - Text","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""What"": - Selected Choice","Please identify which of the following statements best describes the evolution of your commit message writing quality in terms of ""What"": - Other, please specify: - Text",Please briefly describe the reasons for selecting the choices of the previous 2 questions:
I consent,Over 20 years,15 years or more but less than 20 years,Neither agree nor disagree,Strongly agree,Probably not,Agree,Disagree,Strongly disagree,Disagree,Disagree,,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,No,,A consice and to-the-point writing with the number of words restricted,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,15 years or more but less than 20 years,1 year or more but less than 2 years,Agree,Strongly agree,Definitely yes,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,
I consent,Over 20 years,2 years or more but less than 5 years,Neither agree nor disagree,Agree,Definitely yes,Disagree,Disagree,Disagree,Agree,Strongly agree,Why information must be in the code not in the change description. Code may be distributed as a tarball.,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,What is described by reviewing the code. It is a nice to have in the commit message for easier understanding but nothing else. It may become outdated.,Definitely not,"Other, please specify:","What is only important, so that the code reviewer can assure they are reviewing the right change. Software may be distributed as tarball without commit messages.",Definitely not,Disagree,"Yes, please specify: (e.g. links, documents...)",https://github.com/GetElastech/guidelines,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,Over 20 years,Agree,Strongly agree,Probably yes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Strongly agree,,,"A consice and to-the-point writing with the number of words restricted,A grammatically correct writing that is easy to read/understand,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,Gives the reviewer the context needed to review the code.
I consent,Over 20 years,5 years or more but less than 10 years,Agree,Agree,Probably yes,Agree,Agree,Agree,Agree,Neither agree nor disagree,,Agree,Agree,Agree,Agree,Neither agree nor disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",Tell what you do and why :) but for the big details it can be in the related Pull Request,"A consice and to-the-point writing with the number of words restricted,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"Most of the info is in Pull Request. When I validate PR, i use Squash to there is only one commit, that contains the info that was previously written in the PR. That's why my ""manual"" commits are not very rich."
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Strongly disagree,Strongly agree,Probably yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,,Strongly disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely not,Strongly agree,"Yes, please specify: (e.g. links, documents...)",Oral transmission in my first job,A grammatically correct writing that is easy to read/understand,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"Why is verbose, code comments and PR bodies are good for that"
I consent,15 years or more but less than 20 years,2 years or more but less than 5 years,Neither agree nor disagree,Agree,Probably not,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,No,,A grammatically correct writing that is easy to read/understand,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,I believe both what and why are important. Usually what lives in the commit message directly and why is better explained in the pull request
I consent,Over 20 years,Over 20 years,Neither agree nor disagree,Strongly agree,Probably not,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)", https://cbea.ms/git-commit/,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,Over 20 years,Strongly agree,Strongly agree,Definitely yes,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,"The review of PRs is of higher quality if the ""why"" is understood. Having ""whys"" helps folks not accidentally revert desired functionality.",Agree,Agree,Agree,Neither agree nor disagree,Disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably yes,Agree,No,,"A grammatically correct writing that is easy to read/understand,Other, please specify:",Easy to understand is more important than being grammatically perfect.,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,I have learned that these are more important over the course of my professional career.
I consent,Over 20 years,10 years or more but less than 15 years,Strongly disagree,Strongly disagree,Definitely not,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,"If you need to provide a Why, then your implementation is cryptic and not easy to understand. Consider refactoring your code",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,"""Talk is cheap, show me the code"" ~Linus Torvalds. If you need to comment the What, you failed at programming the feature / bug fix",Definitely not,"Other, please specify:",A ticket/issue number,Definitely not,Strongly disagree,"Yes, please specify: (e.g. links, documents...)",Include the ticket number!,"Other, please specify:",Include the ticket number,"Other, please specify:",I include ticket number and title,"Other, please specify:",The WHAT is the code change,No one reads commit messages
I consent,2 years or more but less than 5 years,2 years or more but less than 5 years,Neither agree nor disagree,Strongly agree,Definitely yes,Agree,Strongly agree,Agree,Agree,Disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Agree,"Yes, please specify: (e.g. links, documents...)",,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,Over 20 years,Strongly agree,Agree,Probably not,Agree,Agree,Agree,Agree,Strongly disagree,,Agree,Agree,Agree,Agree,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Neither agree nor disagree,"Yes, please specify: (e.g. links, documents...)",apache developer guidelines,The inclusion of test case information related to the code change,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"with large code base like apache projects, having both is important to long term health"
I consent,Over 20 years,Over 20 years,Agree,Strongly agree,Probably yes,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Definitely yes,Neither agree nor disagree,"Yes, please specify: (e.g. links, documents...)","I've read a few blog articles, can't recall them.","A consice and to-the-point writing with the number of words restricted,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,They're a courtesy to the next reader or PR reviewer to get them up to speed quickly.
I consent,10 years or more but less than 15 years,2 years or more but less than 5 years,Agree,Strongly agree,Probably not,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Agree,,,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,I grew the knowledge about good commit message over a period of time that it should state what has been modified in the code.that automatically implies why it was needed 
I consent,15 years or more but less than 20 years,10 years or more but less than 15 years,Strongly agree,Agree,Probably yes,Strongly agree,Strongly agree,Agree,Agree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Probably yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://chris.beams.io/posts/git-commit/ and https://golang.org/doc/contribute#commit_messages,"A grammatically correct writing that is easy to read/understand,Other, please specify:","A structure similar to the ""inverted pyramid"" of good news writing, where the most important stuff comes first and is then elaborated on below.","I tend to write ""Why"" in commit messages over time",,"Other, please specify:","still include ""what"", but with shorter descriptions than ""why""","The ""what"" of any change can be understood fairly easily by reading the change itself; the ""why"" often needs further explanation."
I consent,Over 20 years,Over 20 years,Strongly agree,Agree,Probably yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,"The Calcite project generates release notes from the commit log, and therefore users (not just developers) are impacted if messages do not contain 'why'",Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,"Much 'what' information is more appropriately in code comments; duplication in commit messages is OK, but not necessary",Definitely yes,"""Why"" (a description of the reasons for the changes)",,Definitely yes,Agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"Other, please specify:","If the 'what' is implied by the 'why' (e.g. if I fixed a bug where a null pointer exception was thrown because a field was not initialized), I will omit the 'what'","The first line of the message should always be the 'why'. The 'why' is useful to everyone (future developers, users); the 'what' can often be inferred from the 'why' and the code changes, if not, include the 'what'"
I consent,10 years or more but less than 15 years,5 years or more but less than 10 years,Strongly agree,Disagree,Definitely not,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,There will be more bugs when future developers change this code. Future developers will be more afraid to change this code if its tricky code since they don't understand the author's intent.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Definitely yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Strongly agree,"Yes, please specify: (e.g. links, documents...)",https://cbea.ms/git-commit/,A grammatically correct writing that is easy to read/understand,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"I emphasize why, but typically to explain the why you have to summarize the what. I avoid going in-depth on what because to see the in-depth they should look at the code. **Just as important for writing a commit message is keeping the commit contained to a single logical changeset... ie, don't have massive commits that put too many things into one commit**"
I consent,10 years or more but less than 15 years,2 years or more but less than 5 years,Strongly agree,Strongly agree,Probably not,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,It is convenient to trace backword timeline of some important PR(s) for very complex system(i.e. DB),Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,More explanatory commit msg can help code reviewer to understand the motivation of PR(s),Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,"Yes, please specify: (e.g. links, documents...)",Direct reason leads to phenomenon and root case is xxx,"A consistent commit message writing style/format/pattern across all commits in a project,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,Why and what are both important
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Agree,Strongly agree,Probably yes,Agree,Agree,Neither agree nor disagree,Agree,Disagree,,Strongly agree,Strongly agree,Agree,Agree,Disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Definitely yes,Agree,"Yes, please specify: (e.g. links, documents...)","Links to issues, screenshots, code dumps",A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,10 years or more but less than 15 years,5 years or more but less than 10 years,Strongly agree,Strongly agree,Definitely yes,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Probably yes,Agree,"Yes, please specify: (e.g. links, documents...)",https://developers.google.com/blockly/guides/modify/contribute/commits,"A consice and to-the-point writing with the number of words restricted,A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,"If no precise messages are provided other developers might ask you directly, so it'd be better to write some sensible messages at the first time."
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Disagree,Strongly agree,Probably yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Definitely yes,"""What"" (a summary of the code changes in the commit)",,Probably yes,Strongly agree,No,,"Other, please specify:",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,2 years or more but less than 5 years,Disagree,Agree,Probably not,Agree,Agree,Neither agree nor disagree,Agree,Disagree,,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,No,,A consistent commit message writing style/format/pattern across all commits in a project,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,Over 20 years,Over 20 years,Strongly agree,Strongly agree,Definitely not,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Bidirectional Traceability of software artifacts is missing e.g. regressions are harder to detect,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Bidirectional Traceability of software artifacts is missing e.g. regressions are harder to detect,Definitely yes,"Other, please specify:",Bidirectional Traceability is important,Definitely yes,Agree,"Yes, please specify: (e.g. links, documents...)",Bidirectional Traceability guidelines of our company,"Other, please specify:",Bidirectional Traceability,"Other, please specify:",Bidirectional Traceability,"Other, please specify:",Bidirectional Traceability,Bidirectional Traceability
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Neither agree nor disagree,Strongly agree,Probably yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Probably not,"""What"" (a summary of the code changes in the commit)",,Definitely yes,Agree,No,,"A consice and to-the-point writing with the number of words restricted,The inclusion of test case information related to the code change",,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,10 years or more but less than 15 years,10 years or more but less than 15 years,Neither agree nor disagree,Strongly agree,Definitely yes,Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Strongly disagree,,Probably yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,No,,The inclusion of test case information related to the code change,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Strongly agree,Strongly agree,Definitely yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,,Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Strongly agree,No,,The inclusion of test case information related to the code change,,"I tend to write ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,
I consent,5 years or more but less than 10 years,5 years or more but less than 10 years,Disagree,Strongly agree,Probably not,Agree,Disagree,Agree,Agree,Neither agree nor disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Probably yes,"""What"" (a summary of the code changes in the commit)",,Probably not,Agree,No,,"A consistent commit message writing style/format/pattern across all commits in a project,A grammatically correct writing that is easy to read/understand",,"I tend to ignore writing ""Why"" in commit messages over time",,"I tend to write ""What"" in commit messages over time",,I feel that the what should be in the commit message whereas the why is usually difficult to condense into the number of words that make an acceptable commit message. In general the Why should be included in the merge/pull request and/or was discussed in a design session or in the ticket.
I consent,15 years or more but less than 20 years,2 years or more but less than 5 years,Strongly agree,Agree,Probably yes,Strongly agree,Agree,Disagree,Agree,Disagree,,Strongly agree,Agree,Disagree,Agree,Disagree,,Probably yes,"""Why"" (a description of the reasons for the changes)",,Probably not,Strongly agree,No,,A consice and to-the-point writing with the number of words restricted,,"I tend to write ""Why"" in commit messages over time",,"I tend to ignore writing ""What"" in commit messages over time",,"""what"" can be deducted from the patch itself if the code base is readable. ""why"" is not always clear, and helps painting the picture for the next people who have to maintain the code"
I consent,5 years or more but less than 10 years,2 years or more but less than 5 years,Agree,Agree,Definitely yes,Agree,Agree,Agree,Strongly agree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,It will be hard to locate a change (without proper keywords),Definitely yes,"""Why"" and ""What"" are equally important",,Definitely yes,Agree,"Yes, please specify: (e.g. links, documents...)","links, documents, clear why & what statements, clear keywords ",A grammatically correct writing that is easy to read/understand,,"Other, please specify:",I tend to write why for important or complicated cases,"Other, please specify:","I tend to write what for complicated cases, for other cases just write briefly or even just keywords",for easy understanding and searching 
